"volume","clinic","tag_year","action","action_date","action_year","action_month","address","city","zip"
100,"Natural Pet Care",2015,"Delivered",2014-12-29,"2014","12","3825 Hessmer Ave","Metairie","70002"
200,"Banfield 1034 (West Bank)",2015,"Delivered",2014-12-26,"2014","12","1321 Manhattan Blvd","Harvey","70058"
100,"Banfield 1175 (Veterans)",2015,"Delivered",2014-12-29,"2014","12","6851 Veterans Memorial Blvd","Metairie","70003"
300,"Carrollton Veterinary Hospital",2015,"Delivered",2014-12-24,"2014","12","3501 S. Carrollton Ave","New Orleans","70118"
100,"Clearview Veterinary Hospital",2015,"Delivered",2014-12-29,"2014","12","4713 Trenton Street","Metairie","70006"
-28,"Clearview Veterinary Hospital",2015,"Returned",2016-01-05,"2016","1","4713 Trenton Street","Metairie","70006"
100,"Convenient Home Veterinary Care",2015,"Delivered",2015-01-05,"2015","1","P.O. Box 1242","Harvey","70059"
-54,"Convenient Home Veterinary Care",2015,"Returned",2016-03-23,"2016","3","P.O. Box 1242","Harvey","70059"
500,"Maple Small Animal Clinic",2015,"Delivered",2014-12-24,"2014","12","7608 Maple St","New Orleans","70118"
200,"Desoto Park Veterinary Clinic",2015,"Delivered",2014-12-29,"2014","12","2659 Desoto St","New Orleans","70119"
300,"Doskey Mobile Veterinary Care",2015,"Delivered",2015-01-06,"2015","1",NA,"Gretna",NA
500,"Elysian Fields Animal Clinic",2015,"Delivered",2014-12-27,"2014","12","4237 Elysian Fields Ave","New Orleans","70122"
-10,"Fur De Lis Vet Services",2015,"Returned",2015-01-25,"2015","1","P.O. Box 791715   -   5045 Hastings Street","New Orleans - Metairie",NA
100,"Fur De Lis Vet Services",2015,"Delivered",2015-01-27,"2015","1","P.O. Box 791715   -   5045 Hastings Street","New Orleans - Metairie",NA
100,"Gretna Animal Hospital",2015,"Delivered",2014-12-29,"2014","12","714 Kepler St","Gretna","70053"
100,"Hickory Knoll Veterinary Hospital",2015,"Delivered",2014-12-29,"2014","12","1625 Hickory Ave","Harahan","70123"
100,"Home Veterinary Services",2015,"Delivered",2015-02-13,"2015","2","PO Box 11120, Jefferson, 10181-1120",NA,NA
-1,"Home Veterinary Services",2015,"Returned",2015-11-15,"2015","11","PO Box 11120, Jefferson, 10181-1120",NA,NA
-3,"Home Veterinary Services",2015,"Returned",2015-11-15,"2015","11","PO Box 11120, Jefferson, 10181-1120",NA,NA
-70,"Home Veterinary Services",2015,"Returned",2016-01-05,"2016","1","PO Box 11120, Jefferson, 10181-1120",NA,NA
100,"Jester Veterinarian Clinic",2015,"Delivered",2014-12-26,"2014","12","4 Westbank Expressway","Westwego",NA
200,"Lake Animal Hospital",2015,"Delivered",2014-12-27,"2014","12","604 Veterans Memorial Blvd","Metairie","70005"
300,"Midcity Veterinary Hospital",2015,"Delivered",2014-12-24,"2014","12","3821 Orleans Ave","New Orleans","70119"
500,"Lakeview Veterinary Hospital",2015,"Delivered",2014-12-27,"2014","12","6245 Memphis Ave","New Orleans","70124"
500,"Magazine Street Animal Clinic",2015,"Delivered",2014-12-24,"2014","12","3458 Magazine St","New Orleans","70115"
500,"NOLA Animal Clinic",2015,"Delivered",2014-12-27,"2014","12","4554 Downman Rd","New Orleans","70126"
500,"Pet Care Center",2015,"Delivered",2014-12-26,"2014","12","2212 David Drive","Metairie","70003"
50,"Annual Rabies Vaccination Drive",2015,"Delivered",2015-03-26,"2015","3",NA,NA,NA
50,"W. Esplanade Vet Clinic",2015,"Delivered",2014-12-29,"2014","12","3640 W. Esplanade Ave","Metairie","70002"
-34,"W. Esplanade Vet Clinic",2015,"Returned",NA,"Unkno","Unkno","3640 W. Esplanade Ave","Metairie","70002"
100,"Terry Parkway Animal Clinic",2015,"Delivered",2014-12-29,"2014","12","636 Terry Parkway","Terrytown","70056"
-43,"Terry Parkway Animal Clinic",2015,"Returned",2016-01-05,"2016","1","636 Terry Parkway","Terrytown","70056"
100,"Southshore Animal Hospital",2015,"Delivered",2014-12-29,"2014","12","213 Live Oak St","Metairie","70005"
100,"Terrytown Veterinary Clinic",2015,"Delivered",2014-12-29,"2014","12","867 Terry Parkway","Terrytown","70056"
-51,"Terrytown Veterinary Clinic",2015,"Returned",2015-12-29,"2015","12","867 Terry Parkway","Terrytown","70056"
100,"The Cat Hospital of Metairie",2015,"Delivered",2014-12-27,"2014","12","1500 Veterans Memorial Blvd.","Metairie","70005"
500,"Prytania Veterinary Hospital",2015,"Delivered",2014-12-24,"2014","12","201 Nashville Ave.","New Orleans","70115"
500,"The Cat Practice",2015,"Delivered",2014-12-29,"2014","12","1809 Magazine St","New Orleans","70130"
100,"Pets R Our World",2015,"Delivered",2015-01-08,"2015","1","PO Box 9055","Metairie","70055"
44,"Lakeview Veterinary Hospital",2015,"Delivered",2015-12-20,"2015","12","6245 Memphis Ave","New Orleans","70124"
-44,"Villalobos",2015,"Returned",2016-01-05,"2016","1",NA,NA,NA
90,"Villalobos",2015,"Delivered",2015-11-04,"2015","11",NA,"New Orleans",NA
10,"Vet-a-GoGo",2015,"Delivered",2015-09-24,"2015","9","3517 Chartres St","New Orleans","70117"
100,"Uptown Veterinary Hospital",2015,"Delivered",2014-12-27,"2014","12","731 Nashville Ave","New Orleans","70115"
200,"VCA Airline Animal Hospital",2015,"Delivered",2014-12-29,"2014","12","5105 Airline Drive","Metairie","70001"
-80,"VCA Airline Animal Hospital",2015,"Returned",2015-12-28,"2015","12","5105 Airline Drive","Metairie","70001"
500,"The French Quarter Vet",2015,"Delivered",2015-01-06,"2015","1","3041 N Rampart St","New Orleans","70116"
200,"VCA Causeway Animal Hospital",2015,"Delivered",2014-12-27,"2014","12","1315 N. Causeway Blvd","Metairie","70001"
100,"Allstar Animal Clinic",2015,"Delivered",2015-08-17,"2015","8","4701 S Carrollton Ave","New Orleans","70119"
200,"Vet Relief Foundation",2015,"Delivered",2015-09-10,"2015","9","2611 Florida St ",NA,NA
500,"Vetco @ Petco Mobile Clinic",2015,"Delivered",2014-12-27,"2014","12","17485 Opportunity Ave","Baton Rouge","70817"
100,"Banfield 1034 (West Bank)",2015,"Delivered",1941-09-01,"1941","9","1321 Manhattan Blvd","Harvey","70058"
200,"Annual Rabies Vaccination Drive",2015,"Delivered",2015-03-25,"2015","3",NA,NA,NA
-10,"Annual Rabies Vaccination Drive",2015,"Returned",2015-03-30,"2015","3",NA,NA,NA
10,"Gretna Animal Hospital",2015,"Delivered",2015-12-08,"2015","12","714 Kepler St","Gretna","70053"
-100,"Annual Rabies Vaccination Drive",2015,"Returned",2015-10-07,"2015","10",NA,NA,NA
100,"Lake Animal Hospital",2015,"Delivered",2015-10-07,"2015","10","604 Veterans Memorial Blvd","Metairie","70005"
100,"Desoto Park Veterinary Clinic",2015,"Delivered",2015-05-07,"2015","5","2659 Desoto St","New Orleans","70119"
-20,"Desoto Park Veterinary Clinic",2015,"Returned",2015-12-28,"2015","12","2659 Desoto St","New Orleans","70119"
200,"Annual Rabies Vaccination Drive",2015,"Delivered",2015-03-26,"2015","3",NA,NA,NA
-100,"Annual Rabies Vaccination Drive",2015,"Returned",2015-04-20,"2015","4",NA,NA,NA
-19,"Annual Rabies Vaccination Drive",2015,"Returned",2016-01-05,"2016","1",NA,NA,NA
-100,"Annual Rabies Vaccination Drive",2015,"Returned",2015-04-20,"2015","4",NA,NA,NA
100,"River Ridge Veterinary Clinic",2015,"Delivered",2015-05-06,"2015","5","9019 Jefferson Hwy","River Ridge","70123"
500,"Louisiana SPCA",2015,"Delivered",2014-12-24,"2014","12",NA,NA,NA
500,"Louisiana SPCA",2015,"Delivered",2014-12-24,"2014","12",NA,"New Orleans",NA
500,"Louisiana SPCA",2015,"Delivered",2015-01-02,"2015","1",NA,NA,NA
-18,"Louisiana SPCA",2015,"Returned",2016-01-05,"2016","1",NA,"New Orleans",NA
-12,"Louisiana SPCA",2015,"Returned",2016-01-05,"2016","1",NA,NA,NA
-25,"Louisiana SPCA",2015,"Returned",2016-01-05,"2016","1",NA,"New Orleans",NA
-25,"Louisiana SPCA",2015,"Returned",2016-01-05,"2016","1",NA,NA,NA
-25,"Louisiana SPCA",2015,"Returned",2016-01-05,"2016","1",NA,"New Orleans",NA
500,"Louisiana SPCA",2015,"Delivered",2015-02-06,"2015","2",NA,NA,NA
500,"Prytania Veterinary Hospital",2015,"Delivered",2015-02-28,"2015","2","201 Nashville Ave.","New Orleans","70115"
300,"Annual Rabies Vaccination Drive",2015,"Delivered",2015-03-28,"2015","3",NA,NA,NA
35,"Banfield 1034 (West Bank)",2015,"Delivered",2015-12-07,"2015","12","1321 Manhattan Blvd","Harvey","70058"
-143,"Annual Rabies Vaccination Drive",2015,"Returned",2015-08-11,"2015","8",NA,NA,NA
75,"The SULA Foundation",2015,"Delivered",2014-11-17,"2014","11",NA,NA,NA
25,"Natural Pet Care",2015,"Delivered",2015-11-11,"2015","11","3825 Hessmer Ave","Metairie","70002"
-20,"Natural Pet Care",2015,"Returned",2016-01-05,"2016","1","3825 Hessmer Ave","Metairie","70002"
300,"Annual Rabies Vaccination Drive",2015,"Delivered",2015-03-24,"2015","3",NA,NA,NA
76,"Allstar Animal Clinic",2015,"Delivered",2015-10-21,"2015","10","4701 S Carrollton Ave","New Orleans","70119"
50,"Chalmette Pet Wellness Clinic & Hospital",2015,"Delivered",2015-09-17,"2015","9","705 E. Judge Perez Drive","Chalmette","70043"
200,"Annual Rabies Vaccination Drive",2015,"Delivered",2015-03-24,"2015","3",NA,NA,NA
-69,"Annual Rabies Vaccination Drive",2015,"Returned",2015-04-20,"2015","4",NA,NA,NA
-16,"Chalmette Pet Wellness Clinic & Hospital",2015,"Returned",2016-01-28,"2016","1","705 E. Judge Perez Drive","Chalmette","70043"
-53,"Annual Rabies Vaccination Drive",2015,"Returned",2015-04-20,"2015","4",NA,NA,NA
50,"Hickory Knoll Veterinary Hospital",2015,"Delivered",2015-09-15,"2015","9","1625 Hickory Ave","Harahan","70123"
300,"Annual Rabies Vaccination Drive",2015,"Delivered",2015-03-25,"2015","3",NA,NA,NA
-25,"Annual Rabies Vaccination Drive",2015,"Returned",2015-04-20,"2015","4",NA,NA,NA
-100,"Annual Rabies Vaccination Drive",2015,"Returned",2015-04-20,"2015","4",NA,NA,NA
50,"Prytania Veterinary Hospital",2015,"Delivered",2015-12-02,"2015","12","201 Nashville Ave.","New Orleans","70115"
50,"Dog Day Afternoon, LLC",2015,"Delivered",2015-11-30,"2015","11","831 Bordeaux St","New Orleans","70115"
-24,"Dog Day Afternoon, LLC",2015,"Returned",2016-01-05,"2016","1","831 Bordeaux St","New Orleans","70115"
300,"Annual Rabies Vaccination Drive",2015,"Delivered",2015-03-24,"2015","3",NA,NA,NA
-5,"Annual Rabies Vaccination Drive",2015,"Returned",2015-04-20,"2015","4",NA,NA,NA
100,"Banfield 1175 (Veterans)",2015,"Delivered",2015-05-07,"2015","5","6851 Veterans Memorial Blvd","Metairie","70003"
-100,"Annual Rabies Vaccination Drive",2015,"Returned",2015-04-21,"2015","4",NA,NA,NA
200,"Annual Rabies Vaccination Drive",2015,"Delivered",2015-03-28,"2015","3",NA,NA,NA
-23,"Annual Rabies Vaccination Drive",2015,"Returned",2015-04-20,"2015","4",NA,NA,NA
-100,"Annual Rabies Vaccination Drive",2015,"Returned",2015-04-20,"2015","4",NA,NA,NA
100,"The SULA Foundation",2015,"Delivered",2015-05-08,"2015","5",NA,NA,NA
400,"Annual Rabies Vaccination Drive",2015,"Delivered",2015-03-26,"2015","3",NA,NA,NA
-45,"Annual Rabies Vaccination Drive",2015,"Returned",2015-04-20,"2015","4",NA,NA,NA
100,"Banfield 1175 (Veterans)",2015,"Delivered",2015-05-07,"2015","5","6851 Veterans Memorial Blvd","Metairie","70003"
-100,"Annual Rabies Vaccination Drive",2015,"Returned",2015-04-20,"2015","4",NA,NA,NA
100,"Marrero Veterinary Clinic",2015,"Delivered",2015-04-24,"2015","4","4001 Lapalco Blvd","Harvey","70058"
200,"Lake Animal Hospital",2015,"Delivered",2015-05-13,"2015","5","604 Veterans Memorial Blvd","Metairie","70005"
200,"Southshore Animal Hospital",2015,"Delivered",2015-05-16,"2015","5","213 Live Oak St","Metairie","70005"
500,"Maple Small Animal Clinic",2015,"Delivered",2015-03-12,"2015","3","7608 Maple St","New Orleans","70118"
-64,"Marrero Veterinary Clinic",2015,"Returned",2016-03-04,"2016","3","4001 Lapalco Blvd","Harvey","70058"
500,"Midcity Veterinary Hospital",2015,"Delivered",2015-03-12,"2015","3","3821 Orleans Ave","New Orleans","70119"
500,"Carrollton Veterinary Hospital",2015,"Delivered",2015-03-12,"2015","3","3501 S. Carrollton Ave","New Orleans","70118"
500,"Lakeview Veterinary Hospital",2015,"Delivered",2015-03-17,"2015","3","6245 Memphis Ave","New Orleans","70124"
500,"Magazine Street Animal Clinic",2015,"Delivered",2015-03-18,"2015","3","3458 Magazine St","New Orleans","70115"
200,"Banfield 1034 (West Bank)",2015,"Delivered",2015-03-17,"2015","3","1321 Manhattan Blvd","Harvey","70058"
300,"Ark Animal Hospital",2015,"Delivered",2015-03-19,"2015","3","4025 Jefferson Hwy","Jefferson","70121"
200,"VCA Causeway Animal Hospital",2015,"Delivered",2015-03-24,"2015","3","1315 N. Causeway Blvd","Metairie","70001"
100,"Allstar Animal Clinic",2015,"Delivered",2015-04-01,"2015","4","4701 S Carrollton Ave","New Orleans","70119"
200,"Canal Street Veterinary Hospital",2015,"Delivered",2015-04-02,"2015","4","4022 Canal St","New Orleans","70119"
500,"Louisiana SPCA",2015,"Delivered",2015-03-24,"2015","3",NA,NA,NA
500,"Crescent City Veterinary Hospital",2015,"Delivered",2015-04-01,"2015","4","524 Jefferson Ave","New Orleans","70115"
100,"Uptown Veterinary Hospital",2015,"Delivered",2015-04-03,"2015","4","731 Nashville Ave","New Orleans","70115"
200,"Banfield 1023 (Elmwood)",2015,"Delivered",2015-04-08,"2015","4","1000 S Clearview Prkwy Ste 1050","Harahan","70123"
100,"Laplace Veterinary Hospital",2015,"Delivered",2015-04-17,"2015","4","2921 New Highway 51 ","La Place","70068"
100,"Desoto Park Veterinary Clinic",2015,"Delivered",2015-05-07,"2015","5","2659 Desoto St","New Orleans","70119"
500,"NOLA Animal Clinic",2015,"Delivered",2015-04-03,"2015","4","4554 Downman Rd","New Orleans","70126"
1000,"Southern Animal Foundation",2015,"Delivered",2015-04-08,"2015","4","1823 Magazine Street","New Orleans","70130"
500,"Louisiana SPCA",2015,"Delivered",2015-04-10,"2015","4",NA,NA,NA
500,"Pet Care Center",2015,"Delivered",2015-04-13,"2015","4","2212 David Drive","Metairie","70003"
500,"Algiers Animal Clinic",2015,"Delivered",2015-04-29,"2015","4","3807 General DeGaulle","Algiers","70114"
1000,"Metairie Small Animal Hospital",2015,"Delivered",2015-05-04,"2015","5","101 Metairie Rd","Metairie","70005"
500,"Prytania Veterinary Hospital",2015,"Delivered",2015-05-11,"2015","5","201 Nashville Ave.","New Orleans","70115"
500,"Louisiana SPCA",2015,"Delivered",2015-05-19,"2015","5",NA,"New Orleans",NA
500,"Maple Small Animal Clinic",2015,"Delivered",2015-05-29,"2015","5","7608 Maple St","New Orleans","70118"
500,"Magazine Street Animal Clinic",2015,"Delivered",2015-05-29,"2015","5","3458 Magazine St","New Orleans","70115"
500,"Crescent City Veterinary Hospital",2015,"Delivered",2015-05-29,"2015","5","524 Jefferson Ave","New Orleans","70115"
500,"Lakeview Veterinary Hospital",2015,"Delivered",2015-06-05,"2015","6","6245 Memphis Ave","New Orleans","70124"
500,"NOLA Animal Clinic",2015,"Delivered",2015-06-05,"2015","6","4554 Downman Rd","New Orleans","70126"
200,"Canal Street Veterinary Hospital",2015,"Delivered",2015-06-05,"2015","6","4022 Canal St","New Orleans","70119"
100,"Allstar Animal Clinic",2015,"Delivered",2015-06-12,"2015","6","4701 S Carrollton Ave","New Orleans","70119"
200,"Gretna Animal Hospital",2015,"Delivered",2015-06-25,"2015","6","714 Kepler St","Gretna","70053"
500,"Midcity Veterinary Hospital",2015,"Delivered",2015-06-20,"2015","6","3821 Orleans Ave","New Orleans","70119"
500,"Prytania Veterinary Hospital",2015,"Delivered",2015-06-30,"2015","6","201 Nashville Ave.","New Orleans","70115"
200,"Uptown Veterinary Hospital",2015,"Delivered",2015-06-30,"2015","6","731 Nashville Ave","New Orleans","70115"
200,"Banfield 1023 (Elmwood)",2015,"Delivered",2015-07-16,"2015","7","1000 S Clearview Prkwy Ste 1050","Harahan","70123"
100,"The Cat Hospital of Metairie",2015,"Delivered",2015-07-30,"2015","7","1500 Veterans Memorial Blvd.","Metairie","70005"
500,"Elysian Fields Animal Clinic",2015,"Delivered",2015-07-09,"2015","7","4237 Elysian Fields Ave","New Orleans","70122"
1000,"Southern Animal Foundation",2015,"Delivered",2015-07-15,"2015","7","1823 Magazine Street","New Orleans","70130"
500,"The Cat Practice",2015,"Delivered",2015-07-15,"2015","7","1809 Magazine St","New Orleans","70130"
-26,"The Cat Practice",2015,"Returned",2016-01-05,"2016","1","1809 Magazine St","New Orleans","70130"
-8,"The Cat Practice",2015,"Returned",2015-01-04,"2015","1","1809 Magazine St","New Orleans","70130"
-10,"The Cat Practice",2015,"Returned",2016-01-06,"2016","1","1809 Magazine St","New Orleans","70130"
-11,"The Cat Practice",2015,"Returned",2016-01-05,"2016","1","1809 Magazine St","New Orleans","70130"
-28,"The Cat Practice",2015,"Returned",2016-01-05,"2016","1","1809 Magazine St","New Orleans","70130"
200,"Animal Medical & Surgical Hospital",2015,"Delivered",2015-07-20,"2015","7","3001 North Causeway Blvd","Metairie","70002"
-100,"Animal Medical & Surgical Hospital",2015,"Returned",2016-01-05,"2016","1","3001 North Causeway Blvd","Metairie","70002"
-100,"Animal Medical & Surgical Hospital",2015,"Returned",2016-01-05,"2016","1","3001 North Causeway Blvd","Metairie","70002"
200,"VCA Causeway Animal Hospital",2015,"Delivered",2015-07-22,"2015","7","1315 N. Causeway Blvd","Metairie","70001"
-96,"VCA Causeway Animal Hospital",2015,"Returned",2015-01-05,"2015","1","1315 N. Causeway Blvd","Metairie","70001"
100,"Lakeview Veterinary Hospital",2015,"Delivered",2015-08-11,"2015","8","6245 Memphis Ave","New Orleans","70124"
500,"Louisiana SPCA",2015,"Delivered",2015-07-23,"2015","7",NA,"New Orleans",NA
400,"Vetco @ Petco Mobile Clinic",2015,"Delivered",2015-07-31,"2015","7","17485 Opportunity Ave","Baton Rouge","70817"
-11,"Vetco @ Petco Mobile Clinic",2015,"Returned",2015-01-11,"2015","1","17485 Opportunity Ave","Baton Rouge","70817"
-100,"Vetco @ Petco Mobile Clinic",2015,"Returned",2015-01-11,"2015","1","17485 Opportunity Ave","Baton Rouge","70817"
200,"Canal Street Veterinary Hospital",2015,"Delivered",2015-07-29,"2015","7","4022 Canal St","New Orleans","70119"
400,"Maple Small Animal Clinic",2015,"Delivered",2015-07-30,"2015","7","7608 Maple St","New Orleans","70118"
500,"Louisiana SPCA",2015,"Delivered",2015-08-03,"2015","8",NA,"New Orleans",NA
500,"Magazine Street Animal Clinic",2015,"Delivered",2015-08-06,"2015","8","3458 Magazine St","New Orleans","70115"
500,"Algiers Animal Clinic",2015,"Delivered",2015-08-07,"2015","8","3807 General DeGaulle","Algiers","70114"
200,"Crescent City Veterinary Hospital",2015,"Delivered",2015-08-10,"2015","8","524 Jefferson Ave","New Orleans","70115"
100,"Lakeview Veterinary Hospital",2015,"Delivered",2015-08-11,"2015","8","6245 Memphis Ave","New Orleans","70124"
100,"Pet Care Center",2015,"Delivered",2015-08-10,"2015","8","2212 David Drive","Metairie","70003"
100,"Dr. Mike's Animal House",2015,"Delivered",2015-08-31,"2015","8","1120 N. Rampart Street","New Orleans",NA
-100,"Dr. Mike's Animal House",2015,"Returned",2016-01-05,"2016","1","1120 N. Rampart Street","New Orleans",NA
300,"Pet Care Center",2015,"Delivered",2015-08-17,"2015","8","2212 David Drive","Metairie","70003"
200,"NOLA Animal Clinic",2015,"Delivered",2015-08-21,"2015","8","4554 Downman Rd","New Orleans","70126"
100,"Midcity Veterinary Hospital",2015,"Delivered",2015-09-17,"2015","9","3821 Orleans Ave","New Orleans","70119"
100,"Carrollton Veterinary Hospital",2015,"Delivered",2015-09-21,"2015","9","3501 S. Carrollton Ave","New Orleans","70118"
300,"Lakeview Veterinary Hospital",2015,"Delivered",2015-10-02,"2015","10","6245 Memphis Ave","New Orleans","70124"
500,"Prytania Veterinary Hospital",2015,"Delivered",2015-09-25,"2015","9","201 Nashville Ave.","New Orleans","70115"
500,"Maple Small Animal Clinic",2015,"Delivered",2015-09-29,"2015","9","7608 Maple St","New Orleans","70118"
-100,"Maple Small Animal Clinic",2015,"Returned",2016-01-05,"2016","1","7608 Maple St","New Orleans","70118"
500,"Crescent City Veterinary Hospital",2015,"Delivered",2015-09-30,"2015","9","524 Jefferson Ave","New Orleans","70115"
500,"Metairie Small Animal Hospital",2015,"Delivered",2015-09-30,"2015","9","101 Metairie Rd","Metairie","70005"
-35,"Metairie Small Animal Hospital",2015,"Returned",2015-01-13,"2015","1","101 Metairie Rd","Metairie","70005"
-76,"Metairie Small Animal Hospital",2015,"Returned",2015-01-13,"2015","1","101 Metairie Rd","Metairie","70005"
-100,"Metairie Small Animal Hospital",2015,"Returned",2015-01-13,"2015","1","101 Metairie Rd","Metairie","70005"
500,"Louisiana SPCA",2015,"Delivered",1900-04-14,"1900","4",NA,NA,NA
200,"Canal Street Veterinary Hospital",2015,"Delivered",2015-10-09,"2015","10","4022 Canal St","New Orleans","70119"
200,"Midcity Veterinary Hospital",2015,"Delivered",2015-10-16,"2015","10","3821 Orleans Ave","New Orleans","70119"
100,"NOLA Animal Clinic",2015,"Delivered",2015-10-21,"2015","10","4554 Downman Rd","New Orleans","70126"
200,"Louisiana SPCA",2015,"Delivered",2015-10-15,"2015","10",NA,NA,NA
200,"Louisiana SPCA",2015,"Delivered",2015-10-15,"2015","10",NA,"New Orleans",NA
-62,"Louisiana SPCA",2015,"Returned",2016-01-11,"2016","1",NA,NA,NA
-16,"Louisiana SPCA",2015,"Returned",2016-01-05,"2016","1",NA,"New Orleans",NA
100,"NOLA Animal Clinic",2015,"Delivered",2015-10-21,"2015","10","4554 Downman Rd","New Orleans","70126"
100,"The French Quarter Vet",2015,"Delivered",2015-10-21,"2015","10","3041 N Rampart St","New Orleans","70116"
400,"Magazine Street Animal Clinic",2015,"Delivered",2015-10-28,"2015","10","3458 Magazine St","New Orleans","70115"
-100,"Magazine Street Animal Clinic",2015,"Returned",2015-12-21,"2015","12","3458 Magazine St","New Orleans","70115"
200,"Pet Care Center",2015,"Delivered",2015-11-02,"2015","11","2212 David Drive","Metairie","70003"
-91,"Pet Care Center",2015,"Returned",2016-02-01,"2016","2","2212 David Drive","Metairie","70003"
200,"Southern Animal Foundation",2015,"Delivered",2015-11-09,"2015","11","1823 Magazine Street","New Orleans","70130"
100,"Banfield 1023 (Elmwood)",2015,"Delivered",2015-11-13,"2015","11","1000 S Clearview Prkwy Ste 1050","Harahan","70123"
300,"Louisiana SPCA",2015,"Delivered",2015-11-18,"2015","11",NA,NA,NA
100,"Midcity Veterinary Hospital",2015,"Delivered",2015-11-23,"2015","11","3821 Orleans Ave","New Orleans","70119"
-20,"Midcity Veterinary Hospital",2015,"Returned",2016-01-05,"2016","1","3821 Orleans Ave","New Orleans","70119"
-11,"Midcity Veterinary Hospital",2015,"Returned",2016-01-05,"2016","1","3821 Orleans Ave","New Orleans","70119"
200,"NOLA Animal Clinic",2015,"Delivered",2015-11-27,"2015","11","4554 Downman Rd","New Orleans","70126"
100,"Prytania Veterinary Hospital",2015,"Delivered",2015-12-02,"2015","12","201 Nashville Ave.","New Orleans","70115"
200,"Southern Animal Foundation",2015,"Delivered",2015-12-03,"2015","12","1823 Magazine Street","New Orleans","70130"
50,"Lakeview Veterinary Hospital",2015,"Delivered",2015-12-07,"2015","12","6245 Memphis Ave","New Orleans","70124"
50,"The French Quarter Vet",2015,"Delivered",2015-12-15,"2015","12","3041 N Rampart St","New Orleans","70116"
2500,"Louisiana SPCA",2015,"Delivered",2015-01-15,"2015","1",NA,"New Orleans",NA
-67,"Louisiana SPCA",2015,"Returned",2016-01-05,"2016","1",NA,NA,NA
-200,"Louisiana SPCA",2015,"Returned",2016-01-05,"2016","1",NA,"New Orleans",NA
-200,"Louisiana SPCA",2015,"Returned",2016-01-05,"2016","1",NA,NA,NA
-500,"Louisiana SPCA",2015,"Returned",2016-01-05,"2016","1",NA,"New Orleans",NA
-6,"Pet Care Center",2015,"Returned",2016-04-06,"2016","4","2212 David Drive","Metairie","70003"
-34,"Pet Care Center",2015,"Returned",2016-02-01,"2016","2","2212 David Drive","Metairie","70003"
-28,"Vetco @ Petco Mobile Clinic",2015,"Returned",2015-01-11,"2015","1","17485 Opportunity Ave","Baton Rouge","70817"
-100,"Pet Care Center",2015,"Returned",2016-03-29,"2016","3","2212 David Drive","Metairie","70003"
1000,"Southern Animal Foundation",2016,"Delivered",2015-12-21,"2015","12","1823 Magazine Street","New Orleans","70130"
500,"Prytania Veterinary Hospital",2016,"Delivered",2015-12-21,"2015","12","201 Nashville Ave.","New Orleans","70115"
